# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AFUB_000760	AFUB_000760	AFUB_000760-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_000770	AFUB_000770	AFUB_000770-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_000780	AFUB_000780	AFUB_000780-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_000790	AFUB_000790	AFUB_000790-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_000800	AFUB_000800	AFUB_000800-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_000810	AFUB_000810	AFUB_000810-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_002810	AFUB_002810	AFUB_002810-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_002820	AFUB_002820	AFUB_002820-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_002830	AFUB_002830	AFUB_002830-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_002840	AFUB_002840	AFUB_002840-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_002850	AFUB_002850	AFUB_002850-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_003150	AFUB_003150	AFUB_003150-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_003160	AFUB_003160	AFUB_003160-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_003170	AFUB_003170	AFUB_003170-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_003350	AFUB_003350	AFUB_003350-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_003360	AFUB_003360	AFUB_003360-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_003370	AFUB_003370	AFUB_003370-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_003640	AFUB_003640	AFUB_003640-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_003650	AFUB_003650	AFUB_003650-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_003660	AFUB_003660	AFUB_003660-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_003670	AFUB_003670	AFUB_003670-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_003680	AFUB_003680	AFUB_003680-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_004040	AFUB_004040	AFUB_004040-T	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AFUB_004050	AFUB_004050	AFUB_004050-T	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AFUB_004060	AFUB_004060	AFUB_004060-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_004070	AFUB_004070	AFUB_004070-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_004080	AFUB_004080	AFUB_004080-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_004200	AFUB_004200	AFUB_004200-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_004210	AFUB_004210	AFUB_004210-T	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_004220	AFUB_004220	AFUB_004220-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_004230	AFUB_004230	AFUB_004230-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_004890	AFUB_004890	AFUB_004890-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_004900	AFUB_004900	AFUB_004900-T	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AFUB_004910	AFUB_004910	AFUB_004910-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_005710	AFUB_005710	AFUB_005710-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_005720	AFUB_005720	AFUB_005720-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_005730	AFUB_005730	AFUB_005730-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_005740	AFUB_005740	AFUB_005740-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_005750	AFUB_005750	AFUB_005750-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_007020	AFUB_007020	AFUB_007020-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_007030	AFUB_007030	AFUB_007030-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_007040	AFUB_007040	AFUB_007040-T	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AFUB_007050	AFUB_007050	AFUB_007050-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_007170	AFUB_007170	AFUB_007170-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_007180	AFUB_007180	AFUB_007180-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_007190	AFUB_007190	AFUB_007190-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_007200	AFUB_007200	AFUB_007200-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_007470	AFUB_007470	AFUB_007470-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_007480	AFUB_007480	AFUB_007480-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_007490	AFUB_007490	AFUB_007490-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_007500	AFUB_007500	AFUB_007500-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_007510	AFUB_007510	AFUB_007510-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_008050	AFUB_008050	AFUB_008050-T	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AFUB_008060	AFUB_008060	AFUB_008060-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_008070	AFUB_008070	AFUB_008070-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_008080	AFUB_008080	AFUB_008080-T	protein_coding	0	0	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4
AFUB_008090	AFUB_008090	AFUB_008090-T	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFUB_008130	AFUB_008130	AFUB_008130-T	protein_coding	0	0	0	10	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0
AFUB_008140	AFUB_008140	AFUB_008140-T	protein_coding	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9
AFUB_008150	AFUB_008150	AFUB_008150-T	protein_coding	1	0	0	9	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0
AFUB_008160	AFUB_008160	AFUB_008160-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008270	AFUB_008270	AFUB_008270-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_008280	AFUB_008280	AFUB_008280-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_008290	AFUB_008290	AFUB_008290-T	protein_coding	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
AFUB_008300	AFUB_008300	AFUB_008300-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_008310	AFUB_008310	AFUB_008310-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_008700	AFUB_008700	AFUB_008700-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008710	AFUB_008710	AFUB_008710-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFUB_008720	AFUB_008720	AFUB_008720-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008730	AFUB_008730	AFUB_008730-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008950	AFUB_008950	AFUB_008950-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008960	AFUB_008960	AFUB_008960-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_008970	AFUB_008970	AFUB_008970-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_008980	AFUB_008980	AFUB_008980-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_009620	AFUB_009620	AFUB_009620-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_009630	AFUB_009630	AFUB_009630-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_009640	AFUB_009640	AFUB_009640-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_009650	AFUB_009650	AFUB_009650-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_010000	AFUB_010000	AFUB_010000-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_010010	AFUB_010010	AFUB_010010-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_010020	AFUB_010020	AFUB_010020-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_010470	AFUB_010470	AFUB_010470-T	protein_coding	0	0	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
AFUB_010480	AFUB_010480	AFUB_010480-T	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
AFUB_010810	AFUB_010810	AFUB_010810-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_010820	AFUB_010820	AFUB_010820-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_010830	AFUB_010830	AFUB_010830-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_010840	AFUB_010840	AFUB_010840-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_010850	AFUB_010850	AFUB_010850-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_011400	AFUB_011400	AFUB_011400-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_011410	AFUB_011410	AFUB_011410-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_011420	AFUB_011420	AFUB_011420-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_011430	AFUB_011430	AFUB_011430-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_011500	AFUB_011500	AFUB_011500-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_011510	AFUB_011510	AFUB_011510-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012320	AFUB_012320	AFUB_012320-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_012330	AFUB_012330	AFUB_012330-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_012340	AFUB_012340	AFUB_012340-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_012350	AFUB_012350	AFUB_012350-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_012360	AFUB_012360	AFUB_012360-T	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
AFUB_012370	AFUB_012370	AFUB_012370-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_012380	AFUB_012380	AFUB_012380-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_012690	AFUB_012690	AFUB_012690-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012700	AFUB_012700	AFUB_012700-T	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFUB_012710	AFUB_012710	AFUB_012710-T	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFUB_012720	AFUB_012720	AFUB_012720-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_012730	AFUB_012730	AFUB_012730-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012770	AFUB_012770	AFUB_012770-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_012780	AFUB_012780	AFUB_012780-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012790	AFUB_012790	AFUB_012790-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012800	AFUB_012800	AFUB_012800-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_012810	AFUB_012810	AFUB_012810-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_012820	AFUB_012820	AFUB_012820-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_013280	AFUB_013280	AFUB_013280-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_013290	AFUB_013290	AFUB_013290-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_013300	AFUB_013300	AFUB_013300-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_013910	AFUB_013910	AFUB_013910-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_013920	AFUB_013920	AFUB_013920-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_013930	AFUB_013930	AFUB_013930-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_013940	AFUB_013940	AFUB_013940-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_013950	AFUB_013950	AFUB_013950-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_014040	AFUB_014040	AFUB_014040-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_014050	AFUB_014050	AFUB_014050-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_014060	AFUB_014060	AFUB_014060-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_014070	AFUB_014070	AFUB_014070-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_014080	AFUB_014080	AFUB_014080-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_014090	AFUB_014090	AFUB_014090-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_014730	AFUB_014730	AFUB_014730-T	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AFUB_014740	AFUB_014740	AFUB_014740-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFUB_014750	AFUB_014750	AFUB_014750-T	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AFUB_014760	AFUB_014760	AFUB_014760-T	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFUB_014970	AFUB_014970	AFUB_014970-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_014980	AFUB_014980	AFUB_014980-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_014990	AFUB_014990	AFUB_014990-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_015070	AFUB_015070	AFUB_015070-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_015080	AFUB_015080	AFUB_015080-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_015090	AFUB_015090	AFUB_015090-T	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
AFUB_015100	AFUB_015100	AFUB_015100-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_015110	AFUB_015110	AFUB_015110-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_015220	AFUB_015220	AFUB_015220-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_015230	AFUB_015230	AFUB_015230-T	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_015240	AFUB_015240	AFUB_015240-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_015390	AFUB_015390	AFUB_015390-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_015400	AFUB_015400	AFUB_015400-T	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AFUB_015410	AFUB_015410	AFUB_015410-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_015590	AFUB_015590	AFUB_015590-T	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFUB_015600	AFUB_015600	AFUB_015600-T	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AFUB_015610	AFUB_015610	AFUB_015610-T	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFUB_015620	AFUB_015620	AFUB_015620-T	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFUB_015630	AFUB_015630	AFUB_015630-T	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFUB_016090	AFUB_016090	AFUB_016090-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_016100	AFUB_016100	AFUB_016100-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_016110	AFUB_016110	AFUB_016110-T	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFUB_016120	AFUB_016120	AFUB_016120-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_016590	AFUB_016590	AFUB_016590-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_016600	AFUB_016600	AFUB_016600-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_016610	AFUB_016610	AFUB_016610-T	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFUB_016620	AFUB_016620	AFUB_016620-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_016630	AFUB_016630	AFUB_016630-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_017080	AFUB_017080	AFUB_017080-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFUB_017180	AFUB_017180	AFUB_017180-T	protein_coding	0	0	2	10	0	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0
AFUB_017190	AFUB_017190	AFUB_017190-T	protein_coding	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
AFUB_017910	AFUB_017910	AFUB_017910-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_017920	AFUB_017920	AFUB_017920-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_017930	AFUB_017930	AFUB_017930-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_017940	AFUB_017940	AFUB_017940-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_017950	AFUB_017950	AFUB_017950-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFUB_018580	AFUB_018580	AFUB_018580-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_018590	AFUB_018590	AFUB_018590-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_018600	AFUB_018600	AFUB_018600-T	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFUB_018610	AFUB_018610	AFUB_018610-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFUB_018860	AFUB_018860	AFUB_018860-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFUB_018870	AFUB_018870	AFUB_018870-T	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AFUB_018880	AFUB_018880	AFUB_018880-T	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFUB_018890	AFUB_018890	AFUB_018890-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
